time_s,force_dt001_N,u_dt001_m,v_dt001_mps,a_dt001_mps2,force_dt01_interp_N,u_dt01_interp_m,v_dt01_interp_mps,a_dt01_interp_mps2,du_dt01minusdt001_m,dv_dt01minusdt001_mps,da_dt01minusdt001_mps2
6.099999999999999867e-01,3.820000000000000000e+04,2.814172269211579619e-02,-9.515735491431752055e-03,-1.478639679337228063e-01,3.820000000000000000e+04,2.801612561681152136e-02,-2.602565822510817181e-02,2.220056145059551844e-01,-1.255970753042748300e-04,-1.650992273367642149e-02,3.698695824396779908e-01
6.199999999999999956e-01,3.740000000000000000e+04,2.803570335305942754e-02,-1.168813231984197794e-02,-2.866153977483223425e-01,3.740000000000000000e+04,2.771219575089504256e-02,-2.711749031674302521e-02,1.392084085885951783e-01,-3.235076021643849831e-04,-1.542935799690104727e-02,4.258238063369175208e-01
6.300000000000000044e-01,3.660000000000000000e+04,2.790188352916269515e-02,-1.507583245950450124e-02,-3.909246301841824422e-01,3.660000000000000000e+04,2.740826588497856722e-02,-2.820932240837788207e-02,5.641120267123517218e-02,-4.936176441841279294e-04,-1.313348994887338084e-02,4.473358328554176144e-01
6.400000000000000133e-01,3.580000000000000000e+04,2.772977265950558878e-02,-1.934634147191677256e-02,-4.631771722982713779e-01,3.579999999999999272e+04,2.710433601906209189e-02,-2.930115450001273547e-02,-2.638600324612483394e-02,-6.254366404434968940e-04,-9.954813028095962912e-03,4.367911690521465440e-01
6.500000000000000222e-01,3.499999999999999272e+04,2.751206817289219425e-02,-2.419455585076213736e-02,-5.064657034708013317e-01,3.499999999999999272e+04,2.680040615314561309e-02,-3.039298659164758887e-02,-1.091832091634848956e-01,-7.116620197465811648e-04,-6.198430740885451512e-03,3.972824943073164361e-01
6.600000000000000311e-01,3.419999999999999272e+04,2.724435204171782310e-02,-2.934867038411209314e-02,-5.243572031991898807e-01,3.419999999999999272e+04,2.649647628722913775e-02,-3.148481868328244226e-02,-1.919804150808449017e-01,-7.478757544886853459e-04,-2.136148299170349124e-03,3.323767881183449791e-01
6.700000000000000400e-01,3.339999999999999272e+04,2.692473929974836463e-02,-3.457387800977959613e-02,-5.206843219343106899e-01,3.339999999999999272e+04,2.619254642131266242e-02,-3.257665077491729566e-02,-2.747776209982049078e-01,-7.321928784357022157e-04,1.997227234862300471e-03,2.459067009361057821e-01
6.800000000000000488e-01,3.259999999999999272e+04,2.655349930995301241e-02,-3.967411994929084806e-02,-4.993640659679392524e-01,3.259999999999998909e+04,2.588861655539618709e-02,-3.366848286655215600e-02,-3.575748269155649695e-01,-6.648827545568253283e-04,6.005637082738692067e-03,1.417892390523742829e-01
6.900000000000000577e-01,3.179999999999999272e+04,2.613266787460265250e-02,-4.449216712078114117e-02,-4.642453683301195344e-01,3.179999999999998545e+04,2.558468668947970828e-02,-3.476031495818700939e-02,-4.403720328329249201e-01,-5.479811851229442199e-04,9.731852162594131772e-03,2.387333549719461434e-02
7.000000000000000666e-01,3.099999999999998545e+04,2.566566542351851610e-02,-4.890832309604611905e-02,-4.189858267228767641e-01,3.099999999999998545e+04,2.528075682356323295e-02,-3.585214704982186279e-02,-5.231692387502849817e-01,-3.849085999552831483e-04,1.305617604622425626e-02,-1.041834120274082176e-01
7.099999999999999645e-01,2.980000000000000000e+04,2.515442421621514116e-02,-5.333991836462887576e-02,-4.673332269936747441e-01,2.980000000000000000e+04,2.466875615655494958e-02,-4.092173098002321874e-02,-5.199270696042560536e-01,-4.856680596601915811e-04,1.241818738460565702e-02,-5.259384261058130949e-02
7.199999999999999734e-01,2.860000000000000000e+04,2.459707245805662149e-02,-5.813043326707505870e-02,-4.907697534955619556e-01,2.860000000000000000e+04,2.405675548954665927e-02,-4.599131491022462326e-02,-5.166849004582271254e-01,-5.403169685099622199e-04,1.213911835685043544e-02,-2.591514696266516982e-02
7.299999999999999822e-01,2.740000000000000000e+04,2.399117768523888888e-02,-6.304852129647146863e-02,-4.928478523837196423e-01,2.740000000000000000e+04,2.344475482253837242e-02,-5.106089884042603472e-02,-5.134427313121981973e-01,-5.464228627005164596e-04,1.198762245604543392e-02,-2.059487892847855495e-02
7.399999999999999911e-01,2.620000000000000000e+04,2.333644011820257963e-02,-6.789899211079039598e-02,-4.772463104800646061e-01,2.620000000000000000e+04,2.283275415553008211e-02,-5.613048277062744618e-02,-5.102005621661692691e-01,-5.036859626724975170e-04,1.176850934016294981e-02,-3.295425168610466304e-02
7.500000000000000000e-01,2.500000000000000000e+04,2.263432856882676217e-02,-7.252331776437309641e-02,-4.476188202364757007e-01,2.500000000000000000e+04,2.222075348852179180e-02,-6.120006670082885070e-02,-5.069583930201403410e-01,-4.135750803049703661e-04,1.132325106354424571e-02,-5.933957278366464028e-02
7.600000000000000089e-01,2.380000000000000000e+04,2.188771816999732570e-02,-7.679876200151419807e-02,-4.074700271917446326e-01,2.380000000000000000e+04,2.160875282151350149e-02,-6.626965063103026909e-02,-5.037162238741114129e-01,-2.789653484838242048e-04,1.052911137048392898e-02,-9.624619668236678027e-02
7.700000000000000178e-01,2.260000000000000000e+04,2.110054233462610104e-02,-8.063640507273073244e-02,-3.600585870515626841e-01,2.260000000000000000e+04,2.099675215450521465e-02,-7.133923456123167361e-02,-5.004740547280824847e-01,-1.037901801208863939e-04,9.297170511499058820e-03,-1.404154676765198007e-01
